name,sex,bearers,auto_pick,auto_count,alternatives,OVERRIDE
מאור,F,1482,מֵאוּר,3,מָאוֹר(1) | מְאוֹר(1) | מֵאוֹר(1),
אלי,F,1479,אֵלַי,366,אֵלָי(80) | אֵלִי(12) | אֱלֵי(4) | אֻלַי(1),
ששון,M,1375,שָׂשׂוֹן,13,שְׂשׂוֹן(2),
ים,F,1361,יָם,77,יַם(14),
תפארת,F,1339,תִּפְאֶרֶת,13,תִּפְאָרֶת(2),
עברי,M,1265,עִבְרִי,8,עֹבְרֵי(5) | עָבְרִי(2) | עֲבֹרִי(1),
עתי,M,1259,עַתַּי,2,עִתִּי(1) | עַתָּי(1),
קים,F,1245,קִיַּם,2,קְיָם(1),
מתניה,M,1238,מַתַּנְיָה,11,מָתְנֶיהָ(1),
אן,F,1210,אֹן,2,אָן(2),
גור,M,1190,גּוּר,5,גּוֹר(1),
גדי,M,1181,גְּדִי,9,גֶּדִי(6) | גָּדִי(2) | גַּדִּי(1),
חלי,F,1163,חֳלִי,3,חֹלִי(2),
תרצה,F,1139,תִּרְצֶה,4,תִּרְצָה(3),
אביהו,M,1137,אָבִיהוּ,7,אֲבִיָּהוּ(2),
עדה,F,1135,עָדָה,9,עֵדָה(2) | עֲדֵה(1),
דור,F,1092,דּוֹר,39,דּוּר(1),
בלהה,F,1065,בִּלְהָה,10,בַלָּהָה(1),
תהלה,F,1017,תְּהִלָּה,11,תָּהֳלָה(1),
אמי,F,925,אִמִּי,23,אָמִי(1),
עדיה,F,883,עֲדָיָה,3,עֶדְיָהּ(1) | עָדֶיהָ(1),
קרני,F,867,קַרְנִי,3,קַרְנֵי(3),
רעי,M,844,רֹעֵי,7,רֹעִי(5) | רֵעָי(3) | רֹעַי(2) | רֵעִי(2),
תבל,F,832,תֵּבֵל,32,תֻּבַל(3) | תֶּבֶל(2) | תִּבֹּל(1),
פני,F,792,פְּנֵי,276,פָּנַי(54) | פָּנָי(19) | פָּנָיַ(2),
תחיה,F,777,תִחְיֶה,9,תְחַיֶּה(3),
מרי,F,744,מְרִי,11,מֶרִי(4) | מָרֵי(1),
פלג,F,693,פֶּלֶג,7,פָּלֶג(1) | פַּלַּג(1) | פִלַּג(1),
מני,M,689,מִנִּי,40,מֶנִּי(7) | מִנֵּי(2) | מַנִּי(1),
פרח,F,659,פֶּרַח,4,פָּרַח(3) | פֹּרֵחַ(2) | פָּרֹחַ(1),
קסם,F,620,קֶסֶם,3,קֹסֵם(1) | קָסֶם(1),
כליל,F,620,כָּלִיל,6,כְּלִיל(4) | כַלַּיִל(1) | כְּלֵיל(1),
עטרת,F,613,עֲטֶרֶת,14,עֲטָרֹת(1) | עַטְרֹת(1) | עִטַּרְתָּ(1),
און,M,595,אָוֶן,75,אוֹן(2),
קשת,F,595,קֶשֶׁת,28,קָשֶׁת(5) | קַשָּׁת(1) | קְשַׁת(1),
דר,F,572,דֹּר,6,דָּר(2),
רום,F,564,רוּם,5,רוֹם(1),
שלהבת,F,502,שַׁלְהֶבֶת,1,שַׁלְהָבֶת(1),
תגל,F,479,תָּגֵל,2,תִּגָּל(1) | תְּגָל(1),
גיא,F,473,גֵּיא,13,גַיְא(1) | גֶּיא(1),
פרץ,M,449,פֶּרֶץ,19,פָּרֶץ(8) | פָּרַץ(8) | פָּרֹץ(1),
פסח,M,442,פֶּסַח,14,פִּסֵּחַ(6) | פָסֵחַ(4) | פָּסַח(1) | פָּסֹחַ(1),
